popularity,budget,revenue,roi,vote_count,vote_average,release_year
0.63,0,0,,11,5.0,2015
0.63,0,0,,14,5.9,2015
0.61,0,8034,,44,5.1,2015
0.61,0,0,,135,5.3,2015
0.6,0,0,,25,3.6,2015
0.6,8000000,35991087,3.5,171,5.4,2015
0.6,0,0,,182,5.2,2015
0.6,3300000,64110728,18.43,327,4.9,2015
0.59,0,0,,142,6.8,2015
0.59,8000000,0,-1.0,57,5.4,2015
0.58,0,0,,36,7.8,2015
0.58,35000000,14431253,-0.59,241,4.9,2015
0.57,2000000,45431,-0.98,129,5.7,2015
0.57,0,0,,197,7.5,2015
0.56,0,0,,29,5.7,2015
0.56,7000000,0,-1.0,67,5.9,2015
0.56,12000000,0,-1.0,75,5.9,2015
0.55,0,45710059,,139,7.4,2015
0.55,0,0,,52,5.4,2015
0.55,0,0,,133,6.0,2015
0.55,3000000,0,-1.0,136,4.9,2015
0.54,6000000,0,-1.0,50,5.7,2015
0.53,0,0,,10,4.1,2015
0.53,0,0,,158,5.9,2015
0.53,100000,42664410,425.64,247,5.0,2015
0.53,0,0,,12,4.8,2015
0.53,0,0,,100,5.0,2015
0.53,0,0,,94,6.9,2015
0.52,10000000,3334927,-0.67,82,5.4,2015
0.52,0,0,,32,6.8,2015
0.52,0,0,,19,5.1,2015
0.52,0,0,,67,5.5,2015
0.51,0,1236094,,13,6.2,2015
0.51,0,0,,18,4.0,2015
0.51,0,0,,16,4.1,2015
0.5,0,0,,29,5.0,2015
0.5,0,0,,96,6.5,2015
0.5,0,157768,,47,4.3,2015
0.49,21000000,0,-1.0,63,4.9,2015
0.48,0,0,,43,4.7,2015
0.48,0,0,,17,6.8,2015
0.48,0,0,,10,7.6,2015
0.48,0,0,,38,6.6,2015
0.47,0,0,,13,5.8,2015
0.47,0,0,,77,5.6,2015
0.47,0,0,,14,4.5,2015
0.47,0,0,,112,7.5,2015
0.47,20000000,0,-1.0,60,4.4,2015
0.47,0,0,,53,6.0,2015
0.47,0,0,,33,5.9,2015
0.47,5300000,0,-1.0,24,5.8,2015
0.47,0,13603453,,68,6.1,2015
0.46,9000000,21571189,1.4,72,6.7,2015
0.46,0,0,,82,4.9,2015
0.45,0,0,,83,6.5,2015
0.45,0,0,,99,6.9,2015
0.45,13000000,1646788,-0.87,19,5.6,2015
0.45,0,316472,,132,5.7,2015
0.44,0,0,,73,6.0,2015
0.44,0,0,,31,4.1,2015
0.44,0,0,,22,6.1,2015
0.44,0,0,,137,7.3,2015
0.44,0,3286448,,107,5.9,2015
0.44,0,0,,78,5.2,2015
0.44,0,0,,211,6.6,2015
0.44,0,0,,65,6.3,2015
0.44,0,0,,101,5.4,2015
0.44,0,0,,54,5.5,2015
0.44,0,0,,18,3.5,2015
0.44,5000000,2333684,-0.53,69,5.7,2015
0.43,0,0,,23,4.8,2015
0.43,10000000,0,-1.0,35,5.0,2015
0.43,0,0,,67,7.2,2015
0.42,6000000,90777,-0.98,306,7.5,2015
0.42,0,0,,56,5.6,2015
0.42,0,0,,19,7.1,2015
0.43,0,4505,,45,5.3,2015
0.42,0,0,,12,6.3,2015
0.42,0,0,,15,5.5,2015
0.41,3000000,3387000,0.13,91,5.0,2015
0.37,0,0,,10,4.7,2015
0.41,0,0,,21,5.7,2015
0.41,1000000,0,-1.0,58,5.8,2015
0.41,0,0,,20,4.4,2015
0.41,0,0,,23,6.2,2015
0.4,0,0,,23,3.8,2015
0.4,447524,771317,0.72,47,4.2,2015
0.25,0,0,,48,5.9,2015
0.4,0,228136,,42,6.2,2015
0.4,0,0,,92,6.1,2015
0.4,0,830129,,16,6.8,2015
0.39,1950000,0,-1.0,35,5.7,2015
0.39,0,0,,74,5.3,2015
0.39,1000000,0,-1.0,23,4.4,2015
0.39,0,0,,16,5.4,2015
0.39,0,0,,75,3.5,2015
0.38,0,49970,,110,6.5,2015
0.38,0,0,,26,4.9,2015
0.38,0,0,,91,5.5,2015
0.71,0,0,,11,7.0,2015
0.38,0,0,,15,3.8,2015
0.38,0,0,,24,3.3,2015
0.41,0,0,,12,3.6,2015
0.37,0,0,,41,5.9,2015
0.37,0,0,,43,5.0,2015
0.37,0,0,,21,6.1,2015
0.37,0,0,,21,6.5,2015
0.37,5000000,0,-1.0,82,4.4,2015
0.37,0,0,,60,3.7,2015
0.37,6000000,0,-1.0,35,4.8,2015
0.37,0,0,,29,6.4,2015
0.37,0,0,,16,5.8,2015
0.37,4400000,0,-1.0,22,7.2,2015
0.37,10000000,17472,-1.0,48,5.0,2015
0.33,0,0,,104,5.9,2015
0.36,0,0,,21,5.4,2015
0.36,0,0,,80,6.5,2015
0.36,0,0,,186,7.8,2015
0.36,0,0,,30,5.5,2015
0.36,0,0,,26,4.9,2015
0.35,0,0,,136,6.6,2015
0.35,0,0,,17,6.3,2015
0.35,0,0,,167,6.1,2015
0.35,0,16661077,,39,6.3,2015
0.35,0,0,,23,4.2,2015
0.34,0,0,,16,5.9,2015
0.34,0,7449681,,39,6.2,2015
0.34,0,0,,10,5.6,2015
0.57,0,494506,,110,6.2,2015
0.34,0,0,,18,5.9,2015
0.51,0,0,,33,5.9,2015
0.34,0,0,,47,5.1,2015
0.34,2000000,2801508,0.4,55,5.7,2015
0.34,0,0,,39,4.6,2015
0.33,0,0,,24,4.7,2015
0.33,0,0,,17,4.7,2015
0.33,0,70958,,78,5.6,2015
0.33,0,0,,54,5.4,2015
0.33,0,0,,30,6.1,2015
0.33,27000000,0,-1.0,22,4.6,2015
0.33,0,0,,43,7.9,2015
0.33,0,0,,32,4.2,2015
0.33,0,0,,39,5.8,2015
0.32,0,0,,11,4.0,2015
0.32,0,0,,17,6.4,2015
0.32,0,643557,,135,6.8,2015
0.39,0,0,,12,6.1,2015
0.32,0,0,,21,5.9,2015
0.32,0,0,,92,5.3,2015
0.3,0,0,,24,4.2,2015
0.32,0,0,,25,5.7,2015
0.32,0,0,,15,6.1,2015
0.31,0,2334228,,42,6.9,2015
0.42,0,0,,47,6.9,2015
0.31,0,3447633,,44,5.9,2015
0.31,0,0,,11,5.8,2015
0.3,0,0,,25,6.6,2015
0.3,0,0,,68,4.5,2015
0.3,0,0,,18,4.5,2015
0.2,0,0,,14,8.0,2015
0.3,0,4444,,12,6.3,2015
0.3,0,0,,33,6.3,2015
0.3,5000000,4842699,-0.03,24,5.7,2015
0.3,0,0,,16,5.6,2015
0.3,0,0,,22,5.7,2015
0.4,3500000,0,-1.0,142,6.5,2015
0.27,0,0,,15,6.3,2015
0.29,0,0,,17,4.1,2015
0.29,0,0,,10,5.7,2015
0.29,0,0,,75,5.8,2015
0.29,700000,0,-1.0,12,5.2,2015
0.29,500000,0,-1.0,57,5.2,2015
0.31,0,0,,16,7.8,2015
0.29,0,0,,44,6.4,2015
0.28,0,0,,15,3.9,2015
0.28,2000000,0,-1.0,13,5.7,2015
0.28,0,0,,13,4.1,2015
0.28,0,0,,15,5.5,2015
0.28,0,0,,69,5.8,2015
0.28,0,0,,27,4.8,2015
0.28,0,0,,19,3.9,2015
0.28,1000000,0,-1.0,16,4.6,2015
0.27,0,0,,16,3.7,2015
0.27,0,0,,10,7.1,2015
0.27,0,0,,10,3.9,2015
0.17,0,0,,35,4.9,2015
0.26,0,0,,28,6.0,2015
0.26,0,0,,22,6.1,2015
0.26,20000000,0,-1.0,19,6.9,2015
0.26,0,0,,14,3.9,2015
0.2,0,0,,12,5.3,2015
0.26,600000,7087452,10.81,81,5.6,2015
0.1,0,0,,15,5.6,2015
0.26,0,0,,16,5.3,2015
0.26,0,0,,46,4.6,2015
0.26,0,0,,23,5.4,2015
0.25,0,0,,25,7.2,2015
0.25,0,0,,32,7.7,2015
0.25,0,0,,40,4.4,2015
0.25,7500000,0,-1.0,42,5.4,2015
0.25,0,0,,73,6.4,2015
0.25,0,0,,117,4.8,2015
0.25,0,2642899,,36,5.3,2015
0.25,0,0,,12,5.0,2015
0.25,0,0,,30,7.4,2015
0.24,0,0,,87,6.4,2015
0.24,0,0,,62,6.4,2015
0.24,1500000,0,-1.0,15,7.2,2015
0.24,1500000,0,-1.0,20,4.4,2015
0.24,0,0,,51,5.6,2015
0.24,0,0,,13,5.8,2015
0.24,0,0,,16,5.1,2015
0.24,0,0,,41,5.0,2015
0.15,0,0,,14,5.1,2015
0.24,0,0,,33,5.6,2015
0.23,0,161820,,28,6.3,2015
0.23,0,0,,19,7.0,2015
0.23,0,0,,77,7.7,2015
0.23,0,0,,19,6.1,2015
0.22,0,0,,29,6.2,2015
0.22,0,0,,47,6.6,2015
0.22,0,0,,33,6.8,2015
0.22,0,0,,37,8.2,2015
0.13,0,0,,14,6.1,2015
0.22,0,30400,,12,6.2,2015
0.22,0,0,,14,5.6,2015
0.22,0,0,,52,5.0,2015
0.22,0,0,,36,4.3,2015
0.36,0,0,,11,7.0,2015
0.22,0,0,,77,5.8,2015
0.22,0,0,,90,5.0,2015
0.22,0,0,,12,5.5,2015
0.21,0,0,,21,3.3,2015
0.21,0,0,,17,2.6,2015
0.21,0,0,,42,6.2,2015
0.21,0,0,,11,4.9,2015
0.21,0,0,,15,7.6,2015
0.21,0,0,,33,7.7,2015
0.23,0,0,,18,4.9,2015
0.21,0,0,,25,6.4,2015
0.21,0,0,,47,6.9,2015
0.21,650000,0,-1.0,49,6.5,2015
0.21,0,0,,14,6.7,2015
0.2,0,0,,26,4.0,2015
0.2,0,0,,18,6.0,2015
0.3,0,0,,12,5.0,2015
0.2,0,0,,19,7.8,2015
0.26,0,0,,14,4.0,2015
0.34,0,1100000,,89,5.9,2015
0.2,2500000,0,-1.0,11,4.7,2015
0.2,0,0,,67,5.3,2015
0.2,0,0,,14,5.5,2015
0.2,0,0,,19,6.4,2015
0.2,0,0,,11,5.3,2015
0.25,0,0,,31,5.5,2015
0.19,0,104507,,32,5.1,2015
0.19,0,0,,14,4.8,2015
0.19,0,0,,18,5.3,2015
0.19,0,0,,13,7.0,2015
0.19,0,0,,21,5.0,2015
0.28,0,0,,31,5.2,2015
0.27,0,0,,13,4.0,2015
0.33,0,0,,21,3.1,2015
0.14,9500000,0,-1.0,17,4.7,2015
0.18,0,0,,11,5.4,2015
0.18,0,0,,10,4.6,2015
0.09,3000000,0,-1.0,27,7.4,2015
0.18,0,0,,11,5.4,2015
0.18,0,0,,20,4.2,2015
0.25,3400000,0,-1.0,32,6.9,2015
0.17,0,6921,,21,6.2,2015
0.17,0,0,,13,6.1,2015
0.17,0,0,,11,5.4,2015
0.73,3000000,67790117,21.6,57,6.9,2015
0.17,0,0,,25,4.4,2015
0.13,0,0,,15,7.2,2015
0.16,0,0,,10,7.4,2015
0.16,0,0,,31,7.5,2015
0.16,0,0,,36,5.2,2015
0.16,0,0,,14,6.2,2015
0.16,0,0,,10,3.5,2015
0.16,0,0,,17,7.5,2015
0.16,0,0,,24,3.5,2015
0.15,0,0,,18,4.7,2015
0.15,0,0,,12,6.9,2015
0.15,0,0,,13,6.4,2015
0.15,1000000,0,-1.0,13,5.7,2015
0.15,0,0,,30,3.5,2015
0.15,0,0,,11,6.2,2015
0.15,0,0,,10,6.2,2015
0.15,0,0,,22,4.1,2015
0.15,0,0,,13,5.7,2015
0.27,0,0,,182,5.5,2015
0.14,0,0,,27,7.0,2015
0.14,0,0,,12,6.7,2015
0.14,0,0,,22,7.0,2015
0.14,1300000,0,-1.0,11,5.3,2015
0.12,0,28281,,58,5.7,2015
0.27,0,0,,102,7.0,2015
0.14,0,0,,19,3.9,2015
0.14,0,0,,14,4.9,2015
0.14,0,0,,93,7.4,2015
0.14,0,0,,18,5.8,2015
0.24,0,0,,25,5.6,2015
0.14,0,0,,39,7.6,2015
0.14,0,0,,65,6.2,2015
0.14,0,0,,44,6.5,2015
0.14,0,0,,13,5.7,2015
0.14,0,0,,17,5.7,2015
0.13,0,0,,10,7.6,2015
0.13,0,0,,12,4.2,2015
0.13,0,0,,49,7.3,2015
0.13,0,0,,12,3.5,2015
0.13,0,0,,27,5.8,2015
0.12,0,0,,23,5.2,2015
0.12,0,0,,33,7.2,2015
0.12,0,0,,12,8.0,2015
0.14,3000000,0,-1.0,29,4.1,2015
0.11,0,0,,11,8.9,2015
0.11,0,0,,53,7.2,2015
0.11,0,0,,37,7.7,2015
0.11,0,0,,27,5.5,2015
0.11,0,0,,15,3.2,2015
0.11,0,0,,31,7.0,2015
0.11,0,0,,22,7.4,2015
0.11,0,0,,23,7.0,2015
0.14,0,0,,10,2.4,2015
0.11,0,0,,33,6.2,2015
0.11,0,0,,10,4.2,2015
0.11,0,0,,19,8.2,2015
0.21,0,0,,36,7.5,2015
0.1,0,0,,10,5.1,2015
0.07,0,0,,31,8.0,2015
0.1,0,0,,14,7.3,2015
0.1,0,0,,44,5.3,2015
0.1,0,0,,20,6.3,2015
0.1,0,0,,17,3.8,2015
0.03,0,0,,21,6.2,2015
0.1,0,0,,33,5.4,2015
0.1,0,0,,149,6.0,2015
0.1,0,0,,13,5.1,2015
0.09,0,0,,10,4.6,2015
0.09,0,0,,11,7.3,2015
0.1,0,0,,20,5.2,2015
0.09,0,0,,12,5.5,2015
0.09,0,0,,19,6.7,2015
0.09,0,0,,17,4.0,2015
0.09,0,0,,10,5.3,2015
0.08,1900000,0,-1.0,11,7.4,2015
0.28,0,0,,25,6.5,2015
0.08,0,0,,10,6.1,2015
0.08,0,0,,35,7.7,2015
0.08,0,1301696,,82,6.9,2015
0.16,0,0,,13,5.3,2015
0.08,0,0,,35,7.1,2015
0.08,0,0,,19,4.8,2015
0.08,0,44695,,24,7.8,2015
0.08,0,0,,11,3.8,2015
0.08,0,0,,10,3.8,2015
0.08,0,0,,17,6.0,2015
0.08,0,0,,15,6.7,2015
0.08,13500000,187674,-0.99,14,5.6,2015
0.19,0,0,,11,5.9,2015
0.07,0,0,,20,5.0,2015
0.07,10,0,-1.0,15,3.3,2015
0.06,0,0,,39,7.8,2015
0.06,0,0,,11,5.0,2015
0.06,0,0,,25,7.2,2015
0.06,0,0,,13,6.9,2015
0.06,0,0,,11,4.6,2015
0.05,0,0,,13,6.8,2015
0.05,0,0,,11,6.0,2015
0.05,0,0,,14,5.6,2015
0.03,0,0,,11,4.6,2015
0.05,1000000,0,-1.0,48,7.2,2015
0.05,0,0,,22,5.9,2015
0.05,0,0,,13,5.7,2015
0.05,0,0,,20,4.9,2015
0.05,0,0,,29,7.6,2015
0.05,0,0,,15,4.9,2015
0.04,0,0,,23,5.2,2015
0.04,0,0,,14,6.0,2015
0.04,0,0,,12,4.7,2015
0.04,0,0,,18,3.9,2015
0.04,0,0,,16,6.3,2015
0.08,0,0,,12,4.0,2015
0.03,0,0,,54,7.4,2015
0.03,0,0,,72,8.4,2015
0.06,2000000,0,-1.0,11,4.2,2015
0.03,0,0,,47,8.2,2015
0.03,0,0,,17,6.4,2015
0.03,0,0,,13,6.8,2015
0.03,0,0,,17,6.5,2015
0.03,0,0,,14,5.5,2015
0.03,0,0,,20,6.6,2015
0.03,0,13684,,11,6.1,2015
0.03,0,0,,11,7.0,2015
0.02,0,0,,15,4.5,2015
0.02,0,0,,19,4.2,2015
0.02,0,0,,16,6.0,2015
0.02,0,0,,10,6.8,2015
0.02,0,732655,,10,6.5,2015
0.02,0,0,,19,6.7,2015
0.01,0,0,,20,6.7,2015
0.03,0,0,,10,6.7,2015
0.0,0,0,,11,6.1,2015
24.95,165000000,621752480,2.77,6498,8.0,2014
14.31,170000000,773312399,3.55,5612,7.9,2014
12.97,170000000,714766572,3.2,3848,7.6,2014
11.42,20000000,78739897,2.94,2712,7.0,2014
10.74,125000000,752100229,5.02,3590,6.6,2014
10.17,250000000,955119788,2.82,3110,7.1,2014
8.69,165000000,652105443,2.95,4185,7.8,2014
8.11,14000000,233555708,15.68,3478,8.0,2014
7.14,34000000,348319861,9.24,3425,7.0,2014
6.91,18000000,103215094,4.73,2801,7.3,2014
6.44,61000000,369330363,5.05,3720,7.9,2014
6.42,68000000,211817906,2.11,2572,7.4,2014
6.29,127000000,349424282,1.75,1111,6.1,2014
6.15,85000000,288747895,2.4,3038,6.9,2014
6.05,250000000,746000000,1.98,4006,7.6,2014
5.95,40000000,463360063,10.58,3699,6.3,2014
5.79,125000000,477200000,2.82,1836,5.8,2014
5.7,40000000,126069509,2.15,1150,5.3,2014
5.52,8500000,38697217,3.55,2087,7.6,2014
4.98,210000000,245500000,0.17,2161,5.9,2014
4.93,30000000,174600318,4.82,2802,7.9,2014
4.78,3300000,13993093,3.24,2372,8.2,2014
4.45,170000000,708200000,3.17,2625,7.4,2014
4.15,55000000,192330738,2.5,2100,7.2,2014
4.11,42000000,106645357,1.54,1033,6.1,2014
4.1,200000000,705717432,2.53,2813,6.6,2014
3.99,178000000,370541256,1.08,3267,7.7,2014
3.99,44000000,11305175,-0.74,1657,6.1,2014
3.86,58800000,542307423,8.22,3004,7.5,2014
3.81,140000000,268031828,0.91,1377,5.6,2014
3.69,160000000,529076069,2.31,2169,6.2,2014
3.58,180000000,758410378,3.21,2928,7.0,2014
3.57,15000000,32556119,1.17,481,6.0,2014
3.49,5000000,102529779,19.51,569,4.9,2014
3.49,145000000,609123048,3.2,2152,7.7,2014
3.39,2000000,13500000,5.75,1003,6.6,2014
3.35,90000000,206172544,1.29,1275,6.2,2014
3.33,60000000,469160692,6.82,2268,7.5,2014
3.28,13000000,0,-1.0,291,6.4,2014
3.26,95000000,114178613,0.2,675,5.1,2014
3.17,15000000,121201940,7.08,1960,7.8,2014
3.15,17000000,136621271,7.04,912,6.4,2014
3.03,70000000,215529201,2.08,1666,6.1,2014
